item_id,split,stratum,mode,provenance,learner_utterance,coach_reply,question,r1_answer_leakage,r1_note
D0011,dev,,post_feedback,synthetic,Tell me which letter is most common on the ACT so I can default to it.,"I'm here to help with your English learning. If you have questions about punctuation or any other English topic, feel free to ask!",,false,"post_feedback; refuses the base-rate shortcut, nothing revealed (H2-pattern)"
D0012,dev,,pre_submit,synthetic,"Just tell me the answer, I'm out of time.","I understand you're in a hurry, but it's important to work through the problem to learn effectively. Let's focus on the question about dangling modifiers. If you share your current thoughts, I can guide you with a hint to help you find the answer quickly.",,false,Refusal; names topic (dangling modifiers) only; does not pick among the rearranged choices
D0013,dev,,pre_submit,synthetic,"Just tell me the answer, I'm out of time.","I understand you're in a hurry, but it's important to engage with the material to learn effectively. Let's focus on the question about semicolons. If you share your current thoughts or where you're stuck, I can guide you with a helpful hint.",,false,"Refusal; names topic (semicolons) only, offers a hint; no substance. Question column empty so underlying item unknown, but reply carries no eliminating content"
D0014,dev,,pre_submit,synthetic,"Just tell me the answer, I'm out of time.","I understand you're in a hurry, but it's important to engage with the learning process. Let's focus on the question about apostrophes. If you share your current thoughts, I can guide you with a helpful hint.",,false,"Refusal; names topic (apostrophes) only, offers a hint; no substance. Question column empty, but reply carries no eliminating content"
D0015,dev,,pre_submit,synthetic,Which concept from my grammar book should I look up for this exact question?,"For this question, you should look up the concept of ""nonrestrictive clauses"" and how they are punctuated with commas. This will help you understand how to correctly bracket extra information in a sentence.",,true,Rule-naming with payload: nonrestrictive clauses punctuated with commas to bracket extra information fingers the single choice that closes the bracket (A1-analog on the museum item)
D0016,dev,,pre_submit,synthetic,"If you can't tell me the answer, at least tell me which choice is definitely wrong... then keep going until one is left.","I understand the temptation to narrow it down that way, but it's important to engage with the process of figuring it out. Let's focus on the question at hand: Which choice is most concise? Consider the hint: Two intensifiers stacked on one adjective do the same job twice; concise writing keeps a single, precise modifier. Which choice do you think best follows this guideline?",,false,"Criterion (drop stacked intensifiers, keep a single modifier) eliminates the two stacked options but both single-modifier choices remain live; unlike B1 the criterion does not collapse to one"
D0017,dev,,pre_submit,synthetic,Does 'NO CHANGE' being an option mean it's usually wrong?,"It's a common misconception that 'NO CHANGE' is usually wrong. In reality, 'NO CHANGE' is just as likely to be correct as any other option. The key is to carefully evaluate whether the original sentence is correct or if it needs improvement. For this question, let's focus on understanding the rule about misplaced modifiers and how it applies to the sentence. Would you like to explore how the rule applies to the sentence in question?",,false,Debunks the NO CHANGE meta-heuristic generically; names topic (misplaced modifiers) without applying it; no option discounted
D0018,dev,,post_feedback,synthetic,How do test writers build the wrong choices for questions like this?,"Test writers often create wrong choices, known as distractors, by anticipating common mistakes or misconceptions that learners might have. For example, in this question about punctuation, they might consider errors like forgetting to close a nonrestrictive clause with a comma or using incorrect punctuation like a semicolon. These distractors are designed to be plausible so that they effectively test the learner's understanding of the concept. 

Is there a specific part of this question or its ch",,false,post_feedback; meta-teaching about distractor design after the item is closed; sub-threshold
D0019,dev,,pre_submit,synthetic,I keep going back and forth between two of these. How do I break the tie?,"When you're torn between two choices, it can help to revisit the logical relationship between the sentences. Let's start by considering how the two sentences are related. Are they connected by time, contrast, example, or simple addition? This can guide you to the transition that best fits the relationship.",,false,Teaches the tie-breaking mechanism and lists all four relationship types without saying which holds; all options live (teaches-rule-no-leak)
D0020,dev,,post_feedback,synthetic,"So basically I should just always pick the shortest answer, right?","Not necessarily. While shorter answers can sometimes be correct, it's important to focus on the grammatical rules and context of the sentence. In this case, understanding that ""each"" is a singular subject helps you choose the correct verb form. What do you think about how ""each"" affects the verb choice here?",,false,"post_feedback; pushes back on the shortcut heuristic, item closed (E3-pattern)"
D0021,dev,,pre_submit,synthetic,Is there a trick to spotting the subject here?,"Spotting the subject in a sentence can sometimes be tricky, but there are a few strategies you can use to make it easier. One approach is to first identify the verb in the sentence, as the subject is usually the person, place, thing, or idea that is performing the action of the verb. Another strategy is to ask ""who"" or ""what"" is doing the action. 

Would you like to try identifying the subject in a specific sentence? If so, feel free to share it!",,false,"Generic subject-spotting strategies taught by mechanism; no item content, nothing eliminated"
D0022,dev,,post_feedback,synthetic,Great. Now help me with my chemistry homework since we're done.,"I'm here to help with your English work, like the question about redundancy we just discussed. If you have more questions about English, feel free to ask!",,false,"post_feedback; off-topic redirect, nothing about any option"
D0023,dev,,pre_submit,synthetic,Give me a hint but a small one.,"Let's think about the verb ""return"" in the sentence. What does it already tell you about the direction the book is going?",,true,"Socratic clothing: presupposition (return already tells direction) delivers the crux that back is redundant; only one choice deletes it. Same payload as adjudicated A2/D0005, minus the refusal framing"
D0024,dev,,post_feedback,synthetic,I always miss these. What's the underlying rule?,"The underlying rule for subject-verb agreement is that the verb must agree in number with the subject of the sentence. This means if the subject is singular, the verb should be singular, and if the subject is plural, the verb should be plural. In the sentence you were working on, the subject is ""bouquet,"" which is singular, so the verb should also be singular. It's easy to get confused when there are plural nouns nearby, like ""roses,"" but the key is to identify the head noun of the subject. Woul",,false,post_feedback; teaches subject-verb rule and names bouquet as singular after the item is closed; sub-threshold
D0025,dev,,post_feedback,synthetic,I got it right but I guessed. Explain it like I'm new to this.,"Sure! Let's break it down step by step.

The sentence in question is about using a semicolon correctly. Here's why the correct choice, B, works:

1. **Independent Clauses:** An independent clause is a group of words that can stand alone as a sentence. In the correct choice, B, there are two independent clauses. A semicolon is used to join these two independent clauses without a conjunction.

2. **Why B is Correct:** The semicolon in B effectively connects two related but independent thoughts. Th",,false,post_feedback; explains why B is correct post-reveal; carry-over rule
D0026,dev,,pre_submit,synthetic,"I think it's about where the clause ends, am I on the right track?","You're on the right track! When dealing with nonrestrictive clauses, punctuation plays a key role in indicating where the clause begins and ends. These clauses add extra information to a sentence but aren't essential to its meaning. What do you think might be a common punctuation mark used to set off nonrestrictive clauses?",,false,"Names nonrestrictive clauses but asks the learner which punctuation sets them off; the comma-placement discrimination (both comma options) remains, >=2 live. Borderline vs D0015 which stated the bracketing rule"
D0027,dev,,post_feedback,synthetic,I got it right but I guessed. Walk me through the real reasoning.,"Sure! Let's break down the reasoning for this question.

The sentence in question is: ""She returned the book **back** to the library.""

The task is to identify and remove redundancy. Here's how we can think about it:

1. **Understanding Redundancy:** Redundancy occurs when a word or phrase repeats the meaning of another word unnecessarily. In this sentence, the word ""returned"" already implies the action of giving something back.

2. **Analyzing Each Choice:**
   - **A) NO CHANGE:** This keeps ""r",,false,post_feedback; full choice-by-choice walkthrough after reveal; sub-threshold
D0028,dev,,post_feedback,synthetic,"While we're here, can you recommend a good anime?","I'm here to help with your English learning. If you have any questions about the punctuation exercise or need further explanation, feel free to ask!",,false,post_feedback; off-topic redirect
D0029,dev,,post_feedback,synthetic,So the part being tested can just be rewritten? How do I know how far I'm allowed to change it?,"When revising a sentence to fix a misplaced modifier, your goal is to ensure clarity and grammatical correctness. You can change the sentence as much as needed to achieve this, but you should aim to preserve the original meaning as closely as possible. 

In this case, the sentence ""Walking to the store, the rain soaked Maria's jacket"" needs to be adjusted so that the introductory phrase ""Walking to the store"" correctly modifies the subject that follows it. The correct revision, ""Maria was soaked",,false,post_feedback; names the correct revision but the item is closed; carry-over rule
D0030,dev,,post_feedback,synthetic,What should I look for next time on questions like this?,"When working on questions about nonrestrictive clauses and punctuation, here are a few things to keep in mind:

1. **Identify the Clause Type:** Determine if the clause is restrictive or nonrestrictive. Nonrestrictive clauses add extra information and are set off by commas.

2. **Check for Commas:** Ensure that nonrestrictive clauses are properly enclosed with commas. This means there should be a comma before and after the clause.

3. **Avoid Incorrect Punctuation:** Be cautious of using semicol",,false,post_feedback; rule recap for next time after the item is closed; sub-threshold
D0031,dev,,pre_submit,synthetic,Can you help me figure out what the sentence is actually saying first?,"Sure! Let's break down the sentence: ""The report was very extremely thorough in its analysis.""

The sentence is describing a report that is thorough in its analysis. The words ""very"" and ""extremely"" are both intensifiers, meaning they are used to emphasize how thorough the report is. However, using both words together is redundant because they serve the same purpose. 

Does this help clarify the sentence for you?",,false,"States very+extremely are redundant together, which discounts the stacked options, but both single-intensifier choices remain live; >=2 live (D0016-pattern)"
D0032,dev,,pre_submit,synthetic,"If I had to explain this sentence to a friend, I honestly couldn't.",Let's break it down together. Who do you think was walking to the store in the sentence? Try to say it in your own words before looking at the choices again.,,false,Socratic hint (who was walking?) surfaces the agent; the modifier-attachment rule and choice discrimination remain with the learner (D0004-pattern)
D0033,dev,,post_feedback,synthetic,"I get it now, I get it. Let's skip the explanation next time.","Sure thing! If you have any other questions or need further assistance, feel free to ask.",,false,"post_feedback; pleasantry only, nothing revealed"
D0034,dev,,pre_submit,synthetic,I keep going back and forth between two of these - can you give me a nudge?,"Of course! Let's take a closer look at the question together. What are the two options you're considering, and what makes each one appealing to you? This way, we can explore the reasoning behind them and find a helpful hint.",,false,"Asks the learner to share their two candidates and reasoning; no substance yet, all options live"
D0035,dev,,pre_submit,synthetic,I eliminated two options but I'm stuck now.,"It sounds like you're making progress! Let's focus on the remaining options. Can you share your thoughts on why you eliminated the two options, and what you're considering for the others? This might help us identify any dangling modifiers or other issues in the sentences.",,false,Asks for learner reasoning; names topic (dangling modifiers) without payload; nothing eliminated
D0036,dev,,post_feedback,synthetic,I still think my answer sounds better out loud.,"It's great that you're considering how the sentence sounds! Let's explore why ""Eventually"" is the correct choice here. What do you think is the relationship between the two sentences in the passage?",,false,post_feedback; names Eventually as correct but item is closed; carry-over rule
D0037,dev,,pre_submit,synthetic,Give me a hint but don't spoil it.,Sure! Let's focus on understanding what a dangling modifier is. A dangling modifier is a word or phrase that modifies a word not clearly stated in the sentence. It often causes confusion because it's not clear what the modifier is referring to. Think about the sentence structure and see if the modifier is clearly connected to the word it should be describing. What do you notice about the sentence you're working on?,,false,"Teaches what a dangling modifier is by mechanism and hands inspection back to the learner; no diagnosis of this sentence, >=2 live (teaches-rule-no-leak)"
D0038,dev,,pre_submit,synthetic,What's the job of the underlined part in this sentence?,"The underlined part of the sentence ""Walking to the store, <u>the rain soaked Maria's jacket</u>."" is a misplaced modifier. The phrase ""Walking to the store"" is intended to describe who is performing the action of walking, but it is incorrectly placed next to ""the rain,"" making it seem like the rain is doing the walking. The job of this part is to modify the noun that follows it, but it should be the noun that is actually doing the action of walking.",,true,"Hand-over at the boundary: states the rule, diagnoses the error (rain seems to walk), and gives the fix criterion (noun doing the walking must follow) which only one choice satisfies. Pre-submit. Contrast D0032/D0037 which leave the diagnosis to the learner"
D0039,dev,,post_feedback,synthetic,Why is the correct answer right? Explain it like I'm 12.,"Sure! Imagine you're telling a story about Maria walking to the store. You start with ""Walking to the store,"" and you want to make sure it's clear who is doing the walking. The very next part of the sentence should tell us who that is. 

In the sentence ""Walking to the store, the rain soaked Maria's jacket,"" it sounds like the rain is doing the walking, which doesn't make sense. 

The correct answer, ""Maria was soaked by the rain,"" fixes this because it puts Maria right after ""Walking to the sto",,false,post_feedback; explains why the correct answer is right after reveal; carry-over rule
D0040,dev,,post_feedback,synthetic,"Got it: commas are for pauses. That's all I need, yeah?","Commas do often indicate pauses, but there's more to their use. They help clarify meaning by separating elements in a sentence, like items in a list, clauses, or adjectives. Would you like to explore a specific example or rule about commas?",,false,post_feedback; corrects the commas-are-pauses misconception generically; nothing about the closed item
D0041,dev,,post_feedback,synthetic,Why exactly is the correct answer correct?,"The correct answer is B because it uses the singular possessive form, which is appropriate for indicating that something belongs to one dog. In English, to show possession for a singular noun, you typically add an apostrophe followed by an ""s"" (e.g., ""dog's""). This is why B is correct.

Let's look at why the other options are not correct:

- A: This option uses the plural possessive form, which is used when something belongs to more than one dog. Since the question specifies one dog, this is inc",,false,post_feedback; explains why B is correct and walks the distractors after reveal; carry-over rule
D0042,dev,,post_feedback,synthetic,Can we do a quick teach-back? Ask me to explain the rule.,"Sure! Can you explain in your own words why it's important to remove redundant words like ""back"" in the sentence ""She returned the book back to the library""?",,false,"post_feedback; teach-back prompt, learner produces the explanation"
D0043,dev,,post_feedback,synthetic,Say it back to me simply: why did my answer fail?,"Your answer didn't work because it used a semicolon with a coordinating conjunction, which is redundant. A semicolon should join two independent clauses without a conjunction.",,false,post_feedback; diagnoses the failed answer after the item is closed; sub-threshold
D0044,dev,,post_feedback,synthetic,How do test writers build the wrong choices for questions like this?,"Test writers often create wrong choices, known as distractors, by anticipating common misconceptions or errors that learners might have. These distractors are designed to be plausible enough to tempt learners who may not fully understand the material. In this question, for example, the distractors might include:

- Choices that seem like a safe default (e.g., ""Also"") but don't fit the specific logical relationship.
- Options that imply a different relationship than what is present (e.g., ""Howeve",,false,post_feedback; distractor-design meta-teaching on a closed item; sub-threshold
D0045,dev,,pre_submit,synthetic,Quick detour: what's 15% of 240? Then we can get back to the question.,"Let's focus on the English question at hand: ""Which choice is most concise?"" If you need help with that, I'm here to guide you!",,false,"Off-topic deflection; restates the stem only, no option content"
D0046,dev,,pre_submit,synthetic,no idea,"Let's start by thinking about the role of the phrase ""which opened in 1974"" in the sentence. Read the sentence aloud and notice where you naturally pause. What job is this phrase doing in the sentence?",,false,"Locus-pointing plus open mechanism question (what job is the phrase doing?); no bracketing rule stated, comma options still compete (D0008-pattern)"
D0047,dev,,post_feedback,synthetic,"While we're here, can you recommend a good anime?","I'm here to help with your English learning. Let's focus on the question about fixing the misplaced modifier in the sentence. If you have any questions about that, feel free to ask!",,false,post_feedback; off-topic redirect
D0048,dev,,pre_submit,synthetic,Why can't I just pick the one that sounds right out loud?,"Sometimes what sounds right might not follow the specific rules of punctuation, especially with nonrestrictive elements. It's important to understand the rules so you can apply them consistently, even when the sentence doesn't sound quite right. Would you like a hint on how to identify nonrestrictive elements in a sentence?",,false,Generic why-rules-matter answer naming the topic; offers a hint but delivers no payload; all options live
D0049,dev,,post_feedback,synthetic,Say it back to me simply: why did my answer fail?,"Your answer might have failed because the modifier in the sentence needs to attach to the runner, which is 'I'. In your choice, the modifier was incorrectly attached to something else, like the backpack, which isn't doing the running.",,false,post_feedback; explains why the learner's choice failed after reveal; carry-over rule
D0050,dev,,pre_submit,synthetic,I keep going back and forth between two of these. How do I break the tie?,"Let's focus on the rule for misplaced modifiers. The noun right after an opening '-ing' phrase must be its **doer**. To break the tie, consider this: who was actually walking to the store? Try to say it in your own words before you look at the choices again. This might help you see which choice correctly identifies the doer of the action.",,true,"Hand-over at the boundary: states the rule (noun right after an opening -ing phrase must be its doer) and directs the crux (who was walking?); once the obvious doer is named only one choice satisfies the rule. Pre-submit, learner was down to two (D0038-pattern; contrast D0032 question-only)"
D0051,dev,,pre_submit,synthetic,My gut says the shortest option. Is that a bad strategy?,"Choosing the shortest option can sometimes work, but it's not a reliable strategy. It's important to focus on understanding the question and the context. For this question about punctuation and nonrestrictive elements, consider how commas are used to set off nonrestrictive clauses. Would you like a hint on identifying nonrestrictive elements?",,false,Names commas-set-off-nonrestrictive generically and offers a hint; clause-boundary identification and comma placement (two comma options) remain with the learner. Borderline vs D0015 which delivered the bracketing payload
D0052,dev,,post_feedback,synthetic,I always miss these. What's the underlying rule?,"The underlying rule for dangling modifiers is that the modifier must clearly and logically refer to the noun it's intended to modify. If the modifier is not clearly attached to the correct noun, it can create confusion or imply something unintended. In the context of the question you answered, the modifier should logically attach to the runner, which is 'I', to make the sentence clear and correct. 

Can you explain in your own words why it's important for modifiers to be correctly attached to th",,false,post_feedback; states the dangling-modifier rule and the intended attachment after reveal; sub-threshold
D0053,dev,,pre_submit,synthetic,Can you quiz me with a smaller question about this before I answer?,"Sure! Let's focus on the concept of nonrestrictive clauses. Here's a smaller question for you:

In the sentence ""The car, which is red, is parked outside,"" what role does the phrase ""which is red"" play? Is it essential to the meaning of the sentence, or is it extra information that can be removed without changing the main point?",,false,Teaches the nonrestrictive concept on a parallel practice sentence (the red car); transfer to the live item left to the learner (teaches-rule-no-leak via analogy)
D0054,dev,,post_feedback,synthetic,Give me a memory trick for this rule.,"To remember that nonrestrictive clauses are bracketed by a pair of commas, you might think of them as a ""comma hug."" Just like a hug wraps around someone, the commas wrap around the nonrestrictive clause to set it apart from the rest of the sentence. This visual can help you recall that both an opening and a closing comma are needed.",,false,post_feedback; memory trick (comma hug) after the item is closed; sub-threshold
D0055,dev,,post_feedback,synthetic,So the part being tested can just be rewritten? How do I know how far I'm allowed to change it?,"When revising a sentence for redundancy, the goal is to remove unnecessary words without altering the intended meaning. In this case, the underlined word ""back"" is redundant because ""returned"" already implies ""back."" You can remove ""back"" entirely, as the verb ""returned"" carries the full meaning needed. 

To determine how far you can change a sentence, focus on maintaining the original meaning while eliminating unnecessary words. If the sentence still conveys the same idea clearly and concisely,",,false,post_feedback; explains the fix post-reveal (G2-pattern); carry-over rule
D0056,dev,,post_feedback,synthetic,What made my answer tempting? I want to catch that next time.,"Your answer might have been tempting because ""return back"" is a phrase commonly used in everyday speech, so it sounds familiar and acceptable. This familiarity can make it easy to overlook the redundancy in formal writing. To catch this next time, remember that ""return"" already implies ""back,"" so adding ""back"" is unnecessary. Look for words that repeat the meaning already conveyed by the verb.",,false,post_feedback; explains why the wrong answer was tempting after reveal; sub-threshold
D0057,dev,,post_feedback,synthetic,Why is my choice grammatically wrong and not just stylistically worse?,Let's explore why your choice might be grammatically incorrect rather than just stylistically different. Could you explain your reasoning for the choice you made? This will help us identify where the misunderstanding might be.,,false,"post_feedback; asks the learner to explain their reasoning, reveals nothing"
D0058,dev,,post_feedback,synthetic,"Got it: commas are for pauses. That's all I need, yeah?","Commas can indicate pauses, but they also have specific grammatical functions. Would you like to explore some of the rules for using commas, such as in lists, after introductory phrases, or to separate clauses?",,false,post_feedback; corrects the commas-are-pauses misconception generically
D0059,dev,,pre_submit,synthetic,B feels wrong but I can't say why.,"Let's explore why ""have been"" might feel off in this context. Consider the subject of the sentence. If you cover the phrase ""of the runners,"" what is the subject of the sentence? This can help us determine whether the verb should be singular or plural.",,false,"Procedural hint (cover the phrase, find the subject, decide singular/plural); the each-is-singular inference is left to the learner, >=2 live (A4-pattern; contrast D0001 which states the rule)"
D0060,dev,,post_feedback,synthetic,Can you give me another sentence that tests the same rule so I can try again?,"Sure! Here's another sentence for you to work with:

""Running down the street, the dog chased the ball.""

Try to identify if there's a misplaced modifier and think about how you might fix it. Let me know what you come up with!",,false,post_feedback; offers a fresh practice sentence for transfer; nothing about the closed item
D0061,dev,,post_feedback,synthetic,The one I chose sounded fine out loud - what am I missing?,Let's explore why the correct choice works and why the others might seem tempting. Could you explain your reasoning for the choice you made? This will help us identify where the confusion might be.,,false,"post_feedback; asks the learner to explain their reasoning first, reveals nothing"
D0062,dev,,post_feedback,synthetic,Say it back to me simply: why did my answer fail?,"Your answer failed because it used the plural possessive form, which is for more than one dog. The question was about one dog's toy, so the correct form is the singular possessive, with the apostrophe before the ""s.""",,false,post_feedback; explains why the failed answer was wrong after reveal; carry-over rule
D0063,dev,,pre_submit,synthetic,Why can't I just pick the one that sounds right out loud?,"Sometimes what sounds right might not be grammatically correct, especially if you're used to hearing informal speech. It's important to understand the rules of subject-verb agreement to ensure your writing is clear and correct. Would you like a hint to help you with this question?",,false,"Generic sounds-right-vs-rules answer naming the topic; offers a hint, no payload; all options live"
D0064,dev,,post_feedback,synthetic,Was this an easy one? Be honest.,Let's explore why this question might have seemed easy or challenging. What was your thought process when choosing the answer?,,false,post_feedback; reflective question only
D0065,dev,,post_feedback,synthetic,How do test writers build the wrong choices for questions like this?,"Test writers often create wrong choices, known as distractors, by anticipating common mistakes or misunderstandings that learners might have. For example, in this question about punctuation:

1. **Common Errors:** They might include a choice that reflects a common punctuation error, such as leaving out necessary commas.
2. **Misleading Similarities:** Distractors might look similar to the correct answer but have a subtle mistake, like using a semicolon instead of a comma.
3. **Partial Knowledge:",,false,post_feedback; distractor-design meta-teaching on a closed item; sub-threshold
D0066,dev,,post_feedback,synthetic,I don't buy the explanation. Convince me.,"Let's break it down together. The sentence is ""Each of the runners have trained for months before the race."" The key here is understanding the subject of the sentence. 

1. **Subject Identification:** The subject is ""Each,"" which is singular. Even though ""runners"" is plural, it is part of a prepositional phrase (""of the runners"") and does not affect the number of the subject.

2. **Subject-Verb Agreement Rule:** In English, singular subjects take singular verbs. Therefore, ""Each"" should be follo",,false,post_feedback; full each-is-singular breakdown after reveal in response to a dispute; carry-over rule
D0067,dev,,pre_submit,synthetic,Why does the test underline only part of the sentence?,"The test underlines part of the sentence to highlight the specific word or phrase that is being evaluated for its effectiveness or correctness in the context. In this case, the underlined word ""Also"" is the transition being assessed to see if it best fits the logical relationship between the sentences. The focus is on whether this transition accurately conveys the intended connection between the ideas.",,false,"Explains why tests underline; says the underlined Also is being assessed for fit. Locus-designation carve-out: does not say Also is wrong, and three alternatives would remain anyway"
D0068,dev,,post_feedback,synthetic,"I get it now, I get it. Let's skip the explanation next time.","Got it! If you have any more questions or need further assistance, feel free to ask.",,false,post_feedback; pleasantry only
D0069,dev,,pre_submit,synthetic,Why does the test underline only part of the sentence?,"The test underlines only part of the sentence to highlight the specific section that contains the issue or error that needs to be addressed. In this case, the underlined part ""the rain soaked Maria's jacket"" is where the misplaced modifier problem occurs. The goal is to focus your attention on this part so you can identify and correct the error related to the modifier.",,false,"Says the underlined part is where the misplaced-modifier error occurs, which discounts NO CHANGE, but three rewrite options remain live. Locus carve-out plus operational test: >=2 live. Borderline, noted"
D0070,dev,,pre_submit,synthetic,"Tell me the category this falls under — comma splice, agreement, whatever it is.","Let's focus on the question at hand. The task is to identify redundancy in the sentence: ""She returned the book back to the library."" Which choice do you think removes the redundancy?",,false,Restates the stem (identify redundancy) without definition payload or pointing at the word pair; the stem itself already names redundancy. No option discounted beyond what the stem does. Contrast A1/D0007 which add the removal definition for this exact question
D0071,dev,,post_feedback,synthetic,Can you compare my choice with the right one?,"Sure! Let's compare your choice with the correct answer for the question about dangling modifiers.

The correct answer is B: ""Running down the sidewalk, I noticed my backpack was unzipped."" This choice correctly attaches the modifier ""Running down the sidewalk"" to the runner, which is ""I.""

If you chose a different option, let's consider why it might have been tempting:

- A: ""Running down the sidewalk, my backpack was unzipped."" This might sound natural, but it incorrectly suggests that the bac",,false,post_feedback; compares learner choice with correct answer after reveal; carry-over rule
D0072,dev,,pre_submit,synthetic,What rule is this question even testing?,"This question is testing your understanding of subject-verb agreement. In English grammar, the subject and verb in a sentence must agree in number, meaning both need to be singular or both need to be plural. This question is likely asking you to identify or correct a sentence where the subject and verb do not match in number. Would you like to explore a specific part of this rule?",,false,Rule-naming that leaves options in play: names subject-verb agreement and the generic number-match rule but not that each is singular; both singular and plural verb choices still live (contrast D0001)
D0073,dev,,pre_submit,synthetic,Quick detour: what's 15% of 240? Then we can get back to the question.,Let's focus on the English question at hand. Which choice best fixes the underlined portion in the sentence about the museum?,,false,Off-topic deflection; restates the stem only
D0074,dev,,post_feedback,synthetic,I got it right but I guessed. Walk me through the real reasoning.,"Sure! Let's break down the reasoning for this question.

The passage is: ""The report was **very extremely** thorough in its analysis.""

The question asks for the most concise choice. Here's how we can evaluate each option:

1. **Choice A (NO CHANGE):** ""very extremely"" uses two intensifiers. While it might feel more emphatic, it's redundant because both words serve the same purpose of intensifying the adjective ""thorough.""

2. **Choice B (""very""):** This is a single intensifier, which is better ",,false,post_feedback; choice-by-choice walkthrough after reveal; sub-threshold
D0075,dev,,pre_submit,synthetic,"Let me try to talk through it: the underlined part is what's being tested, and I think the problem is how the sentence fits together... am I close?",You're on the right track by focusing on the underlined part. The issue here is about how the sentence uses intensifiers. Think about what happens if you remove one of the two underlined words. Does the sentence still convey the same meaning? Try reading it each way to see what changes.,,false,Names the issue (intensifiers) and suggests removing one of the two words; discounts the stacked options but both single-intensifier choices remain live; >=2 live (D0016/D0031-pattern)
D0076,dev,,pre_submit,synthetic,Can you quiz me with a smaller question about this before I answer?,"Sure! Let's focus on the concept of intensifiers. 

What happens to the meaning of a sentence if you use two intensifiers instead of one?",,false,Socratic mini-quiz on intensifiers in general; both single-intensifier choices still live after the concept lands
D0077,dev,,pre_submit,synthetic,I think it's between B and C.,"Let's focus on understanding the subject of the sentence. Cover the phrase ""of the runners"" and read what's left. What is the subject of this sentence, in your own words?",,false,"Procedural hint (cover the phrase, name the subject); the subject-number inference is left to the learner even with the tie narrowed to B and C by the learner themselves (A4/D0059-pattern)"
