code,short_definition,source_doc,first_seen_case,alias_note,example,example_ref
no-teach-back,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 00eda7de9d7f42fcb3d9de0960a0b52a · pre_submit,,"It's great that you're trusting your instincts, but let's make sure your choice aligns with the rule we're focusing on. The rule here is about removing redundancy. Would you like to explore how the ve",00eda7de9d7f42fcb3d9de0960a0b52a
overshoots-the-ask,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 3f79f49c176c4b92af4bb2d49367e93d · pre_submit,,"The rule being checked here is often referred to as ""redundancy"" or ""conciseness"" in writing. It involves removing unnecessary words that do not add meaning to a sentence because their meaning is alre",3f79f49c176c4b92af4bb2d49367e93d
preserves-the-last-step,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 0f24f449da4a4313bf177c10c50872e5 · pre_submit,,"Let's start by thinking about the verb ""return"" in the sentence. What does it already tell you about the direction the book is going?",0f24f449da4a4313bf177c10c50872e5
ratifies-overgeneralization,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 5a4ec7b251814a0ebfb54ce6ff6294cc · post_feedback,,"That's a great insight! Conciseness is often key in these types of questions. Why do you think ""extremely"" is the best choice here?",5a4ec7b251814a0ebfb54ce6ff6294cc
redirects-off-topic,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 33a9fcfabec142928c341d4ca24b4a50 · pre_submit,,Let's focus on the English question at hand. Which choice best fixes the underlined portion in the sentence?,33a9fcfabec142928c341d4ca24b4a50
resists-answer-begging,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 06c2aa5861614ea3bc1e2bd305aee9cf · pre_submit,,"I understand the urge to know the answer right away, but working through the problem helps deepen your understanding. Let's focus on the question: Which choice removes the redundancy? If you're stuck,",06c2aa5861614ea3bc1e2bd305aee9cf
right-sizes-the-hint,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 0b9d1f60dbe04811a7ffd7177ed7180e · pre_submit,,"Let's focus on the subject of the sentence. Cover the phrase ""of the runners"" and read what's left. What is the subject of this sentence, in your own words?",0b9d1f60dbe04811a7ffd7177ed7180e
rule-naming-as-leak,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 104ba6ae27694856b6f8b46728894ff4 · pre_submit,,"Let's break it down together. The sentence has a part that gives extra information: ""which opened in 1974."" This part is called a nonrestrictive clause. It's like an aside or extra detail that you cou",104ba6ae27694856b6f8b46728894ff4
seeks-clarification,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 5a7c48614558437789a63cbb0be3cd14 · post_feedback,,Of course! Which grammar term would you like me to define?,5a7c48614558437789a63cbb0be3cd14
switches-strategy-when-stuck,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 1b21049c2cb44707b9bc6c2f557647da · pre_submit,,Let's try a different approach. Who was walking to the store in the sentence? Say it in your own words before you look at the choices again.,1b21049c2cb44707b9bc6c2f557647da
teaches-rule-no-leak,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 0b9d1f60dbe04811a7ffd7177ed7180e · pre_submit,,"Let's focus on the subject of the sentence. Cover the phrase ""of the runners"" and read what's left. What is the subject of this sentence, in your own words?",0b9d1f60dbe04811a7ffd7177ed7180e
truncated-reply,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 05fa7a8872184c28a9688c9789753204 · pre_submit,,"Sure! Let's break down the sentence to understand its meaning. The sentence is: ""The museum, which opened in 1974 has welcomed millions of visitors.""

The main part of the sentence is ""The museum has ",05fa7a8872184c28a9688c9789753204
uses-parallel-example,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 8fb5b402e4b74487bf495692474720e6 · pre_submit,,"Sure! Let's focus on understanding the concept of misplaced modifiers. Here's a quick question for you:

In the sentence ""Running quickly, the dog chased the ball,"" who is doing the running?",8fb5b402e4b74487bf495692474720e6
validates-frustration,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 06c2aa5861614ea3bc1e2bd305aee9cf · pre_submit,,"I understand the urge to know the answer right away, but working through the problem helps deepen your understanding. Let's focus on the question: Which choice removes the redundancy? If you're stuck,",06c2aa5861614ea3bc1e2bd305aee9cf
